indice,nombres,precios
178,Frijoles Zenú Antioqueño 310 G,$ 4.990
179,Salsa Olimpica Soya 180 Ml,$ 3.500
180,Arroz Olimpica Excelso Bulto 23 Kg,$ 73.600
181,Canela Molida Comarrico 15 G,$ 1.600
182,Pasta Tallarín Doria Clasic 250 G,$ 2.150
183,Pasta Doria Concha 500 G,$ 4.000
184,Endulzante Splenda 50 G X50 Unds,$ 15.250
185,Té Verde Hindú 26 G X20 Unds,$ 10.500
186,Maíz Cuchuco Ama A Granel,$ 2.850
187,Huevo A/AA Santa Reyes Rojo X6 Unds,$ 6.600
188,Cereal Kellogg'S Chococrispis 370 G,$ 14.200
189,Salsa Fruco Mayonesa Doypack 600 G,$ 11.700
190,Salsa Fruco Para Carnes 254 Ml,$ 6.400
191,Arveja San Jorge Sabanera Duopack 180 G X2 Unds,$ 5.050
192,Sopa Maggi Ajiaco 45 G,$ 1.400
193,Pasta Tomate Al'Fresco 250 G,$ 3.800
194,"Azúcar Riopaila Blanca 2,5 Kg",$ 9.500
195,Pasta De Tomate La Coruña 250 G,$ 4.850
196,Galleta Ritz Queso 204 G,$ 6.250
197,Granola Toning Econopack 1000 G,$ 13.500
198,Arroz Doñapepa 151 3 Kg,$ 16.800
199,Arroz 'O' Rojo 5 Kg,$ 17.950
200,Arveja Olimpica Verde 1 Kg,$ 3.900
201,Salsa Maggi Pasta Carbonara 50 G,$ 3.400
202,Lomo De Atún Medalla De Oro Agua 170 G X3 Unds,$ 12.870
203,Cereal Lucky Charms 297 G,$ 15.400
204,Condimento Comarrico Orégano 20 G,$ 1.600
205,Granola Medalla De Oro Coco 450 G,$ 5.100
206,Granola Olimpica Coco 450 G,$ 6.090
207,Crema Alquería 400 G,$ 6.650
208,Harina Promasa Blanca 1 Kg,$ 4.900
209,Miel De Abeja La Abeja Dorada 160 G,$ 5.500
210,Condimento El Rey Paprika 60 G,$ 3.850
211,Avena Quaker En Hojuelas 200 G,$ 2.300
212,Avena Molida Olimpica 500 G,$ 3.290
213,Condimento El Rey Finas Hierbas 15 G,$ 3.200
214,Huevo AA Jumbo Rojo X45 Unds,$ 27.500
215,Condimento Olimpica Comino 60 G,$ 1.600
216,Arvejas San Jorge Con Zanahoria Duo Pack 180 G,$ 5.300
217,Té Hindú 80 G X50 Unds,$ 12.950
218,ACEITE OLIMPICA GIRASOL 1800 ML,$ 18.990
219,Pasta Nº75 Barilla Penne Rigate 500 G,$ 7.400
220,Condimento Medalla De Oro Comino 45 G,$ 1.350
221,Galleta Bridge Chocolate Individual 30 G X8 Unds,$ 4.950
222,Galleta Ducales Tentación 8208 G,$ 5.400
223,Galleta Oreo Chocolate 432 G,$ 8.500
224,Panela Pastilla 1 Kg X8 Unds,$ 4.700
225,Granola Tosh Artesanal Semillas Chia 300 G,$ 8.500
226,Condimento Medalla De Oro Color Rojo 45 G,$ 1.250
227,Pasta Comarrico 454 G,$ 2.300
228,SALERO REFISAL 130 G,$ 990
229,Huevo Oro AAA Nutriavicola Amarrado X30 Unds,$ 19.700
230,Panela Olimpica Redonda 500 G X4 Unds,$ 2.890
231,Galleta Ducales Provocación Bolsa 168 G,$ 6.350
232,Condimento Comarrico Pimienta De Olor Entera 10 G,$ 1.350
233,Salsa Mayonesa La Constancia 380 G,$ 7.200
234,Arroz Diana 10 Kg,$ 40.480
235,Frijoles Zenú Antioqueño 580 G,$ 8.250
236,Salsa La Constancia BBQ 400 G,$ 4.760
237,Salsa Fruco Mayonesa Doypack 1000 G,$ 15.400
238,Maíz Royal Garden Tierno 425 G,$ 4.480
239,Salsa Medalla De Oro BBQ 195 G,$ 2.250
240,Panela Olimpica Cuadrada 450 G,$ 2.400
241,Endulzante Incauca Light 850 G,$ 6.850
242,Azúcar Manuelita Blanca 5 Kg,$ 18.550
243,Cereal Nestlé Milo 500 G,$ 15.950
244,Atún Olimpica Lomo En Aceite De Oliva 160 G,$ 5.690
245,Huevo AA Acondesa Rojo X45 Unds,$ 24.000
246,Panela Olimpica Cuadripanela 750 G,$ 4.600
247,Panela Olimpica Pulverizada 500 G,$ 2.800
248,Aceite Oliva Rafael Salgado Extra Virgen Botella 500 ML,$ 28.850
249,Galleta Ducales Tentación 156 G,$ 3.900
250,Cebolla El Rey Chapet 60 G,$ 1.650
251,Maíz Tierno Zenú 425 G,$ 7.200
252,Uva Pasa El Nogal 200 G,$ 5.500
253,Salchicha Medalla De Oro Viena 150 G,$ 2.950
254,Sopa Instantánea Ajinomen Fideo Pollo Verdura 80 G,$ 2.500
255,"Galleta Italo Leche 253,1 G",$ 5.050
256,Alcaparra La Coruña Vinagre 60 G,$ 3.500
257,Azúcar Incauca Blanca Tubipack Papel 1 Kg,$ 6.380
258,Pasta Doria Lasaña Precocida 400 G,$ 10.900
259,"Crema De Ajiaco La Sopera Rinde 3 Porciones 41,5 G",$ 1.300
260,Caldo Maggi Costilla Con Especias Demenuzado 90 G + 2 Sobres Gratis,$ 3.850
261,Aceitunas Medalla De Oro Deshuesadas 230 G,$ 3.450
262,Maíz Olimpica Pilado Blanco 1 Kg,$ 3.300
263,"Arroz Diana Fibra 2,5 Kg",$ 13.100
264,Condimento Maggi Sazonatodo 90 G,$ 2.850
265,Cereal Fitness Original 570 G,$ 18.400
266,CREM LECHE ALPINA SEMIENTERA 200ML,$ 4.500
267,Salsa Medalla De Oro Ajo 185 G,$ 2.450
268,Galleta Saltinas Mantequilla 570 G Oferta,$ 7.750
269,Galleta Tosh Wafer Yogurt Fresa Y Acaí 162 G,$ 7.900
270,Salsa La Constancia Soya 180 Ml,$ 3.430
271,Pasta Conzazoni Vermicelli 1 Kg Oferta,$ 12.000
272,Aceite De Canola Life 2 Lt,$ 46.900
273,Galleta Wafer Gullón Sin Azúcar 70 G,$ 4.150
274,Canela Comarrico Entera 10 G,$ 1.750
275,Leche En Polvo El Rodeo Con Hierro Bolsa 187 G,$ 5.800
276,Vinagre Fruco Blanco 500 ML,$ 5.950
277,Espárragos Blancos La Coruña 330 G,$ 15.650
278,"Azúcar Riopaila Morena 2,5 Kg",$ 9.600
279,Galleta Club Social Integral Multicereal 216 G,$ 5.200
280,Palmitos La Coruña Enteros 400 G,$ 11.300
281,Sardina Van Camps Cilíndrica 155 G,$ 5.200
282,Arroz Medalla De Oro 1 Kg,$ 3.400
283,Maíz Olimpica Pilado Blanco 500 G,$ 1.650
284,Condimento Casta Gourmet Pimienta Molida Pura 40 G,$ 3.100
285,Condimento Saysa Mezcla Condimentada Ajo 15 G,$ 1.350
286,"Crema La Sopera Maíz Verde 43,5 G X3 Porciones",$ 1.400
287,Salsa Soya Bary 165 ML,$ 3.450
288,Galleta Saltinas Mantequilla 342 G X3 Unds,$ 5.700
289,Galleta Saltín Noel Maíz Taco 420 G X3 Unds,$ 6.300
290,Caldo De Gallina Maggi D/Gusto 120 G X12 Unds,$ 4.450
291,"Azúcar Providencia Blanca 2,5 Kg",$ 10.750
292,Galleta Noel Sultana Taco 220 G,$ 5.200
293,Pasta Cabello De Ángel La Muñeca 500 G,$ 3.700
294,Galleta Quaker Almendra Sin Azúcar 180 G X6 Unds,$ 9.400
295,Condimento Comarrico Mezclas Color 60 G,$ 1.300
296,Azúcar Providencia Morena Orgánica 850 G,$ 4.350
297,"Azúcar Incauca Morena 2,5 Kg",$ 7.500
298,Salsa Olimpica Mayonesa Bajo Grasa Doypack 200 G,$ 2.600
299,ACEITE VIVA + SOYA 2.8 L,$ 25.990
300,Vinagre Golden Manzana 500 Ml,$ 12.200
301,Alimento Hojuela Quaker Micro Original 180 G,$ 4.400
302,Maicena 720 G,$ 16.850
