indice,nombre,precio,tienda
208,Café Juan Valdez Soluble Liofilizado Avellana X95g,$ 19.690,jumbo
209,Vinagre kari blanco x3000cc,$ 9.990,jumbo
210,Maiz Zenu dulce x 425g,$ 7.790,jumbo
211,Pasta Spaghetti San remo x 1000g,$ 5.190,jumbo
212,Pasta Tornillos Verduras Doria x 500 g.,$ 4.690,jumbo
213,Harina Promasa Blanca x 1000 g,$ 4.490,jumbo
214,Café Juan Valdez Liofilizado Vanicanela x95g,$ 19.990,jumbo
215,Milo Bolsa x1100g,$ 29.253,jumbo
216,Barra cereal Tosh chips chocolate x 6 und x 138g,$ 8.990,jumbo
217,Arroz parbolizado Doña Pepa x 3000g,$ 17.590,jumbo
218,Pasta Clásica Spaghetti Doria x 500 g.,$ 4.190,jumbo
219,Panela fonce organica pulverizada x500g,$ 5.272,jumbo
220,Café Águila Roja x 250G,$ 7.590,jumbo
221,Sardina Cilíndrica Van Camps Abre fácil x 170g,$ 4.890,jumbo
222,Aceite cuisine&co oliva extra virgen x500ml,$ 22.590,jumbo
223,Café Tostado Molido Selección Oma x 250G,$ 12.690,jumbo
224,Arroz Florhuila x 1 kg,$ 4.290,jumbo
225,Cafe matiz 05 balanceado ambar tostado molidox340g,$ 20.190,jumbo
226,Mayonesa Fruco receta artesanal x440g,$ 9.793,jumbo
227,Aceite girasol Oleocali x3000ml,$ 43.590,jumbo
228,Duraznos Cuisine & Co mitades almibar x820g,$ 8.990,jumbo
229,Arroz blanco Diana Premium x 1000 g,$ 5.990,jumbo
230,Café Instantáneo Clásico Colcafé x 500g,$ 30.390,jumbo
231,Granola tropical Carolina x 500g,$ 6.390,jumbo
232,Aceite cuisine&co oliva extra virgen x1l,$ 39.990,jumbo
233,Cereal chocapic econopack x380g,$ 12.990,jumbo
234,Salchichas Viena Zenu x 3 unidades x 150 g,$ 11.990,jumbo
235,Pasta Lasagna Precocida Doria x 200g,$ 5.990,jumbo
236,Café Juan Valdez Liofilizado Clásico x 50 G,$ 10.290,jumbo
237,Salsa de tomate Fruco x 600g,$ 10.590,jumbo
238,Salsa de tomate dp*1000g constancia,$ 10.590,jumbo
239,Chocolate luker clavos canela azucar cana x500g,$ 6.890,jumbo
240,Maiz pira tot premium x1000g,$ 7.590,jumbo
241,Caldo Ricostilla Costilla x12 cubos x126g,$ 4.590,jumbo
242,Café Instantáneo Clásico Colcafé x 85 G.,$ 9.590,jumbo
243,Maiz cuisine&co dulce x3undx150gc-u,$ 9.590,jumbo
244,Café Nescafé Tradición x85g,$ 14.990,jumbo
245,Instacrem*430g refil,$ 9.793,jumbo
246,Aceite De Oliva Puro Ybarra Pet x 3 L,$ 67.990,jumbo
247,Chocolate Luker Light clavos canela x156.2g,$ 6.390,jumbo
248,Cocoa Corona x 230G,$ 6.392,jumbo
249,Pasta Monticello linguine x 500 g.,$ 7.590,jumbo
250,Mostaza Fruco x 200 g. Presentación económica,$ 6.390,jumbo
251,Atun cuisine&co lomitos aceite oliva x160g,$ 6.990,jumbo
252,Fríjol Maritza bola roja premium x 500 g,$ 5.990,jumbo
253,Atún Van Camps Lomitos Aceite Oliva x 160g,$ 9.590,jumbo
254,Azúcar Incauca Morena 5 kg,$ 18.990,jumbo
255,Café La Bastilla tostado molido fuerte x450g,$ 12.190,jumbo
256,Atún Isabel claro lomitos agua x 160g,$ 7.990,jumbo
257,Cereal froot loops x450g,$ 18.990,jumbo
258,Café Águila Roja x 125G,$ 3.890,jumbo
259,Arroz Castellano premium integral oryzica x 1000g,$ 8.390,jumbo
260,Atun alamar bocados agua x140g,$ 6.190,jumbo
261,Pasta De Tomate La Constancia doypack x 200g,$ 5.590,jumbo
262,Kraft mayo 22 fl oz*650ml,$ 15.990,jumbo
263,Salsa de tomate heinz x567g,$ 14.690,jumbo
264,Pasta La Muneca paquetón x 6 und x 1500g,$ 8.190,jumbo
265,Barra cereal Tosh frutas del bosque yogurt griego x 6unds x 162g,$ 9.790,jumbo
266,Aceite Farchioni oliva extra virgen x1l,$ 40.990,jumbo
267,Chocolate Corona x 250g,$ 3.432,jumbo
268,Panela La Nocaimera pastilla x 2000 g,$ 12.990,jumbo
269,Arvejas zenu zanahoria lata x2undx300g c-upr.esp.,$ 6.990,jumbo
270,Cafe colcafe reservado instantaneo x170g,$ 16.990,jumbo
271,Atún Light x3und. x 80g Van Camps,$ 14.390,jumbo
272,Salsa fruco bbq artesanal x180g,$ 3.633,jumbo
273,Granola tosh artesanal semillas chiax300g,$ 7.590,jumbo
274,Atún Isabel lomitos aceite de girasol x 3und x 160g c-u,$ 19.990,jumbo
275,Café Matiz Tostado Molido 07 Intenso Escarlata x 340g,$ 20.190,jumbo
276,Salsa napolitana Barilla x400gr,$ 11.990,jumbo
277,Salchichas Viena de Res x 150 g.,$ 4.390,jumbo
278,Atún Alamar rallado en agua x2 unds x150g,$ 6.790,jumbo
279,Cafe aguila roja*500g grano,$ 13.590,jumbo
