indice,nombres,precios
240,PALITROQUES HORNEADITOS 100 G,$ 2.150
241,TOSTADA MANTEQUILLA HORNEADITOS 100 G,$ 2.190
242,PAN INTEGRAL MIEL Y PASAS HORNEADITOS 340 G...,$ 2.690
243,GALLETA CUCA HORNEADITOS 12 UND - 340 G,$ 3.190
244,MINI BROWNIES HORNEADITOS 15 UND - 350 G,$ 7.890
245,COCADAS TRADICIÓN 1915 150 GRS,$ 4.550
246,QUESUDITOS HORNEADITOS 250 G,$ 4.950
247,BRAZO DE REINA HORNEADITOS 85 G,$ 1.350
248,CHOCO TAJADA HORNEADITOS 70 G,$ 1.250
249,PAN ÁRABE BACKEREI 5 UND 300 G,$ 3.550
250,PAN HAMBURGUESA HORNEADITOS 4 UND 320 G,$ 2.100
251,PAQUETÓN MIXTO HORNEADITOS 800 GRS,$ 5.390
252,PALO DE QUESO MOZZARELLA BACKEREI 480 GRS...,$ 5.750
253,PAN CAIMÁN HORNEADITOS 500 G,$ 3.690
254,PASTEL DE GUAYABA HORNEADITOS 20 UND - 190 G...,$ 3.450
255,TOSTADAS FINAS HIERBAS HORNEADITOS 90 G,$ 2.090
256,TOSTADAS CON AJO HORNEADITOS 90 G,$ 2.090
257,PAN TAJADO ARTESANAL INTEGRAL HORNEADITOS 500 G...,$ 5.290
258,MINI CROISSANT HORNEADITOS 340 GRS,$ 3.390
259,PAN PERRO CON AJONJOLÍ HORNEADITOS 6 UND 370 G...,$ 2.790
260,PAN LECHE HORNEADITOS 10 UND 440 GRS,$ 2.990
261,TORTA NEGRA HORNEADITOS 80 GRS,$ 1.650
262,TOSTADA SURTIDA HORNEADITOS 100 G,$ 2.590
263,MOGOLLA INTEGR HORNEADITOS 10 UND - 400 G...,$ 2.850
264,CORAZONES HORNEADITOS 20 UND - 210 G,$ 3.450
265,PAN ARTESANAL HORNEADITOS 500 G,$ 4.190
266,TOSTADA NATRI MULTICEREAL70 GRS / MAÍZ 90 GRS...,$ 3.150
267,PAN TAJADO INTEGRAL HORNEADITOS 350 GRS,$ 2.290
268,PAN TAJADO BLANCO HORNEADITOS 450 GRS,$ 2.750
269,TOSTADA CLÁSICA HORNEADITOS 10 UND 150 G,$ 1.490
270,TOSTADA INTEGRAL HORNEADITOS 10 UND 150G,$ 1.590
271,PAN MULTIGRANOS NATRI 0 AZUCAR 450 G,$ 4.390
272,COCADA TRADICIONAL NORMANDY 240 G,$ 5.790
273,TIRUDITO SUPERCOCO (8g) 15U,$ 3.190
274,GALLETA WAFER COCOSETTE 50 G,$ 1.250
275,BOM BOM BUM FRESA PQ 6,$ 2.190
276,CHOCOLATE KITKAT CHUNKY 40 GRS,$ 2.250
277,HALLS LIMON Y MIEL 9S,$ 1.290
278,TRIDENT MENTA SIN AZUCAR 5S,$ 1.150
279,CREMA DE AVELLANAS NUZART 350 G,$ 7.990
280,CREMA DE AVELLANAS DUO NUZART 350 G,$ 6.990
281,CHOCOLATINA KEO 12 UND 144 G,$ 3.990
282,TRIDENT SIN AZUCAR SANDIA 18,$ 3.150
283,TRIDENT SIN AZUCAR FRESHMINT 18,$ 3.150
284,CARAMELOS MASTICABLES SPARKIES 25 G,$ 1.100
285,LAMINAS DE CHOCOLATE BISCOLATA CHOCOCHIPS 115 G...,$ 6.590
286,BARQUILLOS RELLENOS DE CREMA NUZART 150 G...,$ 6.490
287,BARRA DE CHOCOLATE CON MANÍ JUMBO 40 G,$ 2.150
288,GALLETA WAFER RECUBIERTA DE CHOCOLATE JET WAFER...,$ 890
289,BARRA DE CHOCOLATE PREMIUM CHALET DU CHOCOLAT 5...,$ 2.890
290,TRUFAS DE BROWNIE TRUFUS 80 G,$ 2.150
291,NANOS PARTICULAS DE DULCES ÁCIDOS OKA LOKA 40 G...,$ 1.190
292,BARRA DE CHOCOLATE CON CARAMELO Y MANI WAPPS...,$ 1.790
293,MORITAS DE GOMA BEBETO 150 G,$ 2.990
294,HELADOS DE GOMA BEBETO 150 G,$ 2.990
295,BARRA DE CHOCOLATE BISCOLATA DUOMAX,$ 1.990
296,CONO DE CHOCOLATE OZMO CORNET 25 G,$ 1.590
297,GALLETA MINI BURGER OZMO 40 GRS,$ 1.690
298,CHOCO COOKIE BISCOLATA BREAK 20 GRS,$ 690
299,MASMELOS BLANCOS MELI MELLOWS 120 GR,$ 2.190
300,OBLEAS TRADICION 1915 4 OBLEAS 140G,$ 5.990
301,ROLLITO DE GUAYABA CON CENTRO DE AREQUIPE DULCE...,$ 5.450
302,BOCADILLO VELEÑO DULCE NATURALEZA 470 G,$ 4.690
303,LONJA DE GUAYABA DULCE NATURALEZA 300 G,$ 1.950
304,WAFER CUBIERTA DE CHOCOLATE BISCOLATA VENI 20 G...,$ 890
305,GOMA INFANTIL HUBBA BUBBA,$ 4.290
306,GOMAS SURTIDAS TRULULU 150 G,$ 2.390
307,MANTEQUILLA DE MANÍ PET MASH 227 G,$ 4.990
308,GELATINA BLANCA TRADICION 1915 168 G,$ 2.950
309,ALFAJOR PREMIUM CHOCOLATE LECHE O BLANCO,$ 2.190
310,BOMBON DE CHOCOLATE OREO BOLITA 190 G,$ 990
311,TIC TAC NARANJA 16 G,$ 1.890
312,HUEVO SORPRESA KINDER JOY 20 G,$ 4.490
313,GOMAS FUN MIX GRISSLY 150 GR,$ 1.990
314,GALLETAS VAINILLA 18UN WAFER NOEL 432 GR,$ 6.390
315,GALLETAS SANDWICH QUESO DUX,$ 5.350
316,GALLETA INTEGRAL CLUB SOCIAL 6 UND,$ 2.850
317,GALLETA HAPPY BLACK 12 PQ 408G,$ 5.990
318,GALLETA DE LECHE MUUU COLOMBINA 216 GRS X 18 UN...,$ 3.750
319,GALLETA CHIPS DE CHOCOLATE 6 PQ,$ 4.290
320,GALLETA RELLENA BISCOLATA MOOD 115 G,$ 4.990
321,GALLETA MINI WAFER BISCOLATA 117 G,$ 4.990
322,GALLETA SABOR OLIVA Y ORÉGANO GRETA 120 G...,$ 3.490
323,GALLETAS SALTÍSIMAS CLUB 6 UND 153 G,$ 2.590
324,GALLETA MIEL HONY BRAN 297 G,$ 4.690
325,GALLETA RELLENA DE FRUTA NATRI 145 G,$ 5.290
326,GALLETA INTEGRAL FUSION CEREALES NATRI 162 G...,$ 2.950
327,GALLETA INTEGRAL CON MIEL NATRI 216 G,$ 3.390
328,GALLETA CUBIERTA YOGUR NATRI 180 G,$ 6.290
329,GALLETA HAPPY CREAM VAINILLA 12 PQ 408G,$ 4.250
330,GALLETA INTEGRAL CON AVENA Y BASE SABOR A YOGUR...,$ 3.990
331,GALLETA SEMIDULCE SALTISIMAS 3T 315G,$ 3.990
332,GALLETA WAFER VAINILLA SIN AZUCAR BRIDGE 6 PK ...,$ 6.990
333,GALLETA HOLANDESA NUZART 35G,$ 1.690
334,GALLETAS CARMELLO CLASSIC BERGEN 140 G,$ 3.390
335,GALLETA HAPPY CREAM VAINILLA 6 PQ 204 G,$ 2.590
336,GALLETAS SALADAS SALTISIMAS 6 TACOS 454 G...,$ 4.190
337,GALLETAS MANTEQUILLA SALTÍSIMAS 324 G,$ 3.250
338,GALLETAS CROKAN CAJA SURTIDA 200 G,$ 3.790
339,GALLETA SEMIDULCE 5 TACOS 455 GRS,$ 5.190
340,GALLETA HAPPY CREAM LIMON 6 PQ 204 G,$ 2.590
341,GALLETAS SALTÍSIMAS 300 G,$ 2.950
342,GALLETA NEGRITA BLACK OUT 228 G,$ 3.490
343,GALLETA HAPPY CREAM FRESA 6 PQ 204 G,$ 2.590
344,HUEVOS DE CODORNIZ SOL NACIENTE 24 UND,$ 4.190
345,HUEVO TIPO AA SOL NACIENTE 12 UND,$ 6.990
346,HUEVO TIPO A SOL NACIENTE 30 UND,$ 14.990
347,CARNE PARA ASAR LLANO ALTO 500 GR,$ 16.450
348,CARNE PARA BISTEC LLANO ALTO 500 GR,$ 15.950
349,CHATA LLANO ALTO 500 GR,$ 20.190
350,CUBOS DE CERDO LLANO ALTO 500 GR,$ 10.250
351,MILANESA DE CERDO LLANO ALTO 500 GR,$ 10.890
352,TOCINO CARNUDO LLANO ALTO 500 GR,$ 11.990
353,CUBOS PARA ESTOFAR RES LLANO ALTO 500 GR,$ 13.890
354,ALAS SIN COSTILLAR AVICAMPO 500 GR,$ 4.990
355,FILETE DE PECHUGA AVICAMPO 500 GR,$ 9.990
356,FILETE DE PERNIL AVICAMPO 500 GR,$ 8.390
357,PECHUGAS DE POLLO AVICAMPO 1100 G,$ 14.990
358,CARNE MOLIDA DE RES LLANO ALTO 450 G,$ 15.500
359,SOBREBARRIGA DELGADA LLANO ALTO 600 GR,$ 17.290
360,MUSLOS DE POLLO AVICAMPO X 700 G,$ 7.690
361,COSTILLA DE RES LLANO ALTO 500 G,$ 11.490
362,FILETE DE LOMO DE CERDO LLANO ALTO 500 G,$ 13.990
363,ENTRECOTE DE RES LLANO ALTO 500 G,$ 22.990
364,ENTREMUSLOS DE POLLO AVICAMPO X 700 G,$ 6.990
365,CRISPETA CARAMELO CHEETOS 72 G,$ 1.590
366,DE TODITO BBQ 250GR,$ 6.750
367,LONJAS DE ALMENDRA NUTHOS 100 GR,$ 7.890
368,MEZCLA NUECES PREMIUM NUTHOS,$ 6.290
369,PATACÓN PISAO PLATAITOS 80 G,$ 3.490
370,TORTILLA BURRITO CRACHOS 8 UND - 580 G,$ 5.990
371,MANÍ SALADO NUTHOS 200 G,$ 3.350
372,MANÍ DULCE NUTHOS 200 G,$ 3.250
373,PASABOCAS SURTIDOS DOCENA KYTHOS 318 G,$ 8.490
374,ARÁNDANOS NUTHOS 150 G,$ 5.150
375,MANÍ CON PASAS NUTHOS 200 G,$ 3.290
376,MONEDITAS DE PLÁTANO PLATAITOS 6 UND - 60 G...,$ 6.990
377,CIRUELA PREMIUM SIN SEMILLA SOFRUCO 200 G...,$ 5.290
378,PASABOCAS MIXTO BBQ KYTHOS 160 G,$ 3.590
379,PISTACHO NUTHOS 70 G,$ 5.590
380,ALMENDRA NUTHOS 150 G,$ 7.490
381,MAÍZ GIGANTE FRITO SALADO NUTHOS 200 G,$ 7.290
382,TORTILLA INTEGRAL NATRI 8 UND- 250 G,$ 3.490
383,MEZCLA CRUNCHY NUTHOS 180 G,$ 6.150
384,MEZCLA SALADA FRUTOS SECOS NUTHOS 180 G,$ 5.190
385,DORITOS FAMILIAR 175 GRS,$ 4.550
386,UVAS PASAS NUTHOS 200 G,$ 2.590
387,MIXTO MEGA FAMILIAR KYTHOS 350 GR,$ 6.650
388,SEXTA PAPA SABOR POLLO KYTHOS 25 G,$ 4.990
389,MEZCLAS SURTIDAS NUTHOS 5 UND - 45G,$ 6.290
390,LONCHERA SURTIDA FRITOLAY 12 UN 261 GR,$ 7.190
391,LONCHERA SURTIDA AZOMPACK 12 UN,$ 5.490
392,PLATANITOS VERDES KYTHOS 135 GR,$ 2.890
393,MAÍZ PICANTE NUTHOS 150 GR,$ 3.650
394,MANÍ NUTHOS CROCANTE 180 GR,$ 2.990
395,NACHOS CRACHOS 200 G,$ 2.550
396,TORTILLA FAJITA CRACHOS 12 UND - 360 G,$ 4.090
397,PASABOCAS MIXTOS SABOR NATURAL KYTHOS 160 G...,$ 3.590
398,PAPAS FRITAS SABOR POLLO KYTHOS 115 G,$ 2.790
399,MEZCLA CHOCODIVERTIDA NUTHOS 45 GR,$ 1.450
400,SEXTA PAPA NATURAL KYTHOS 25 G,$ 4.990
401,PAPAS CASERAS SABOR NATURAL 115GR,$ 2.890
402,TOPPING SURT PARA ENSALADAS NATRI 120G,$ 4.190
403,TURRONES DE GRANOLA SIN AZÚCAR NATRI 150 GRS...,$ 4.790
